paper_id,chunk_id,text
PMC3177255,PMC3177255_003,"After the receptors recognize their cargo, vacuolar proteins are transported to the prevacuolar compartment (PVC; Sanderfoot et al., 1998 ; Happel et al., 2004 ; Song et al., 2006 ) before transport on to the vacuole. In mammalian cells, cargo receptors are recycled from their destination to the site of cargo binding ( Seaman, 2005 ). VSR1 was found to localize to the TGN and the PVC ( Paris et al., 1997 ; Sanderfoot et al., 1998 ); thus, VSR1 was also suggested to cycle between these organelles. Soluble N -ethylmaleimide-sensitive factor attachment protein receptors (SNAREs) are integral membrane proteins required for the fusion of vesicles with their target membrane. SNAREs can be classified based on their site of function: v (vesicle)-SNAREs are localized to the vesicle membrane, and t (target)-SNAREs are localized to the target membrane ( Rothman, 1994 ; Søgaard et al., 1994 )."
PMC3177255,PMC3177255_004,"Generally, one v-SNARE on the vesicle and three t-SNAREs on the target membrane form a trans-SNARE complex, bringing the two membranes in contact and driving membrane fusion ( McNew et al., 2000 ). Clathrin-coated vesicles containing VSR1 contain the v-SNARE VTI11, which forms a SNARE complex with SYP5, SYP2, and VAMP727 at the PVC during anterograde trafficking from the TGN ( Kirsch et al., 1994 ; Sanderfoot et al., 2001a ; Ebine et al., 2008 ). However, the mechanism of recycling of VSR1 from the PVC to the TGN is not yet fully understood. A complex containing the SNAREs SYP41, SYP61, and VTI12 and the Sec1/Munc18-like protein AtVPS45, a potential regulator of vesicle fusion ( Dulubova et al., 2002 ; Bryant and James, 2003 ), is found at the TGN in Arabidopsis ( Arabidopsis thaliana ; Bassham and Raikhel, 1998 ; Bassham et al., 2000 )."
PMC3177255,PMC3177255_005,"SNAREs in the SYP41 complex, along with another SNARE, YKT61/62, were found to be sufficient for vesicle fusion in vitro ( Chen et al., 2005 ). Recently, AtVPS45 was suggested to be involved in the recycling of VSR1, as RNA interference knockdown of AtVPS45 expression causes mislocalization of VSR1 ( Zouhar et al., 2009 ). SYP41 and SYP42 are highly homologous t-SNAREs with 62% amino acid sequence identity. However, they form separate complexes with AtVPS45 in different subdomains of the TGN ( Bassham et al., 2000 ) and are not functionally redundant, as individual syp41 and syp42 knockout mutants are gametophytic lethal ( Sanderfoot et al., 2001b ). A mutation in SYP61, another t-SNARE in the SYP41 complex ( Zhu et al., 2002 ), caused defects in osmotic stress tolerance and abscisic acid regulation of stomatal responses."
PMC3177255,PMC3177255_006,"The v-SNARE VTI12 is involved in trafficking of storage proteins ( Sanmartín et al., 2007 ) and a vti12 mutant showed an early-senescence phenotype under starvation conditions, suggesting that VTI12 is also involved in the autophagy pathway for the degradation of cellular contents ( Surpin et al., 2003 ). In addition to their function together in vesicle fusion, components of the SYP41 complex therefore also appear to be involved in distinct processes, suggesting that they may function in additional SNARE complexes. In this study, we identified a novel SYP41-interacting protein that we named TNO1 (for TGN-localized SYP41-interacting protein). TNO1 is a membrane protein at the TGN and is required for efficient vacuolar trafficking, consistent with the hypothesis that it functions together with the SYP41 SNARE complex."
PMC3177255,PMC3177255_007,"A tno1 knockout mutant has a salt and osmotic stress-sensitive phenotype, possibly due to the partial mislocalization of SYP61. A brefeldin A (BFA)-treated tno1 mutant showed a delay in formation of the BFA compartment, indicating that TNO1 could be important in TGN/endosome fusion events. We propose that TNO1 is involved in vacuolar trafficking and salt stress resistance by facilitating the vesicle fusion process."
PMC11500582,PMC11500582_000,"SNAREs play an important role in the process of membrane trafficking. In the present research, we investigated subcellular localization of an uncharacterized Arabidopsis thaliana protein reported to interact with a trans -Golgi network-localized Qa-SNARE, SYNTAXIN OF PLANTS 43. Based on the similarity of its amino acid sequence to metazoan fucosyltransferases, we have named this novel protein AtGTLP ( Arabidopsis thaliana G lycosyl T ransferase- L ike P rotein) and predicted that it should be a member of yet uncharacterized family of Arabidopsis fucosyltransferases, as it shows no significant sequence similarity to fucosyltransferases previously identified in Arabidopsis. AtGTLP is a membrane-anchored protein, which exhibits a type II-like topology, with a single transmembrane helix and a globular domain in the C-terminal part of its amino acid sequence."
PMC11500582,PMC11500582_001,"Colocalization data we collected suggest that AtGTLP should localize mainly to Golgi apparatus, especially to certain zones of trans -Golgi. As single atgtlp−/− mutants showed no obvious difference in phenotype (primary root length and fresh mass), AtGTLP and proteins related to AtGTLP with high similarity in amino acid sequences may have redundant functions. Keywords: glycosylation, Golgi apparatus, membrane trafficking, trans -Golgi network"
PMC5387210,PMC5387210_000,"We found that Arabidopsis thaliana TNO1 (TGN-localized SYP41-interacting protein), a putative tethering factor localized at the trans -Golgi network, affects root skewing. tno1 knockout mutants display enhanced root skewing and epidermal cell file rotation. Skewing of tno1 roots increases upon microtubule stabilization, but is insensitive to microtubule destabilization. Microtubule destabilization leads to severe defects in cell morphology in tno1 seedlings. Microtubule array orientation is unaffected in the mutant roots, suggesting that the increase in cell file rotation is independent of the orientation of microtubule arrays. We conclude that TNO1 modulates root skewing in a mechanism that is dependent on microtubules but is not linked to disruption of the orientation of microtubule arrays."
PMC5387210,PMC5387210_001,"In addition, TNO1 is required for maintenance of cell morphology in mature regions of roots and the base of hypocotyls. The TGN-localized SNARE machinery might therefore be important for appropriate epidermal cell file rotation and cell expansion during root growth. Keywords: t rans-Golgi network, Root movement, Cell file rotation, Tethering factor, Microtubules"
PMC5387210,PMC5387210_000,"We found that Arabidopsis thaliana TNO1 (TGN-localized SYP41-interacting protein), a putative tethering factor localized at the trans -Golgi network, affects root skewing. tno1 knockout mutants display enhanced root skewing and epidermal cell file rotation. Skewing of tno1 roots increases upon microtubule stabilization, but is insensitive to microtubule destabilization. Microtubule destabilization leads to severe defects in cell morphology in tno1 seedlings. Microtubule array orientation is unaffected in the mutant roots, suggesting that the increase in cell file rotation is independent of the orientation of microtubule arrays. We conclude that TNO1 modulates root skewing in a mechanism that is dependent on microtubules but is not linked to disruption of the orientation of microtubule arrays."
PMC5387210,PMC5387210_001,"In addition, TNO1 is required for maintenance of cell morphology in mature regions of roots and the base of hypocotyls. The TGN-localized SNARE machinery might therefore be important for appropriate epidermal cell file rotation and cell expansion during root growth. Keywords: t rans-Golgi network, Root movement, Cell file rotation, Tethering factor, Microtubules"
PMC6985101,PMC6985101_000,"An official website of the United States government Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock icon ) or https:// means you've safely connected to the .gov website. Share sensitive information only on official, secure websites. Primary site navigation Logged in as: Corresponding author. Contributed equally. Collection date 2020. Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made."
PMC6985101,PMC6985101_001,"The images or other third party material in this article are included in the article’s Creative Commons license, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons license and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ . Correction to: Scientific Reports 10.1038/s41598-019-55869-2, published online 16 December 2019 In the original version of this Article, Hossein Fazelinia was incorrectly affiliated with ‘Department of Biomedical and Health Informatics, The Children’s Hospital of Philadelphia, Philadelphia, USA; Center for Mitochondrial and Epigenomic Medicine, The Children’s Hospital of Philadelphia, Philadelphia, USA’."
PMC6985101,PMC6985101_002,"In addition, Deanne Taylor was incorrectly affiliated with ‘twoXAR Inc, Mountain View, CA, USA’. The correct affiliations are listed below. Hossein Fazelinia: Protein and Proteomics Core Facility, and the Department of Biomedical and Health Informatics, The Children’s Hospital of Philadelphia, Philadelphia, PA 19104, USA Deanne Taylor: Department of Biomedical and Health Informatics, The Children’s Hospital of Philadelphia, and the Department of Pediatrics, The University of Pennsylvania Perelman School of Medicine, Philadelphia, PA 19104, USA These errors have now been corrected in the PDF and HTML versions of the Article. Afshin Beheshti, Email: afshin.beheshti@nasa.gov. Sylvain V."
PMC6985101,PMC6985101_003,"Costes, Email: sylvain.v.costes@nasa.gov Articles from Scientific Reports are provided here courtesy of Nature Publishing Group Connect with NLM National Library of Medicine 8600 Rockville Pike Bethesda, MD 20894"
PMC6387434,PMC6387434_000,"Space radiation has recently been considered a risk factor for astronauts’ cardiac health. As an example, for the case of how to query and identify datasets within NASA’s GeneLab database and demonstrate the database utility, we used an unbiased systems biology method for identifying key genes/drivers for the contribution of space radiation on the cardiovascular system. This knowledge can contribute to designing appropriate experiments targeting these specific pathways. Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the International Space Station (ISS). We observed common molecular pathways between simulated space radiation and HUVECs flown on the ISS."
PMC6387434,PMC6387434_001,"The analysis suggests FYN is the central driver/hub for the cardiovascular response to space radiation: the known oxidative stress induced immediately following radiation would only be transient and would upregulate FYN , which in turn would reduce reactive oxygen species (ROS) levels, protecting the cardiovascular system. The transcriptomic signature of exposure to protons was also much closer to the spaceflight signature than 56 Fe’s signature. To our knowledge, this is the first time GeneLab datasets were utilized to provide potential biological indications that the majority of ions on the ISS are protons, clearly illustrating the power of omics analysis. More generally, this work also demonstrates how to combine animal radiation studies done on the ground and spaceflight studies to evaluate human risk in space."
PMC6387434,PMC6387434_002,"Keywords: space radiation, GeneLab, cardiovascular, HUVECs, FYN , ROS, reactive oxygen species, cardiomyocytes, protons, iron, HZE irradiation"
PMC6371294,PMC6371294_000,"Omics data sharing is crucial to the biological research community, and the last decade or two has seen a huge rise in collaborative analysis systems, databases, and knowledge bases for omics and other systems biology data. We assessed the “FAIRness” of NASA’s GeneLab Data Systems (GLDS) along with four similar kinds of systems in the research omics data domain, using 14 FAIRness metrics. The range of overall FAIRness scores was 6-12 (out of 14), average 10.1, and standard deviation 2.4. The range of Pass ratings for the metrics was 29-79%, Partial Pass 0-21%, and Fail 7-50%. The systems we evaluated performed the best in the areas of data findability and accessibility, and worst in the area of data interoperability. Reusability of metadata, in particular, was frequently not well supported."
PMC6371294,PMC6371294_001,"We relate our experiences implementing semantic integration of omics data from some of the assessed systems for federated querying and retrieval functions, given their shortcomings in data interoperability. Finally, we propose two new principles that Big Data system developers, in particular, should consider for maximizing data accessibility."
PMC9400218,PMC9400218_000,"We have analyzed the data using a deep learning model, allowing us to go beyond traditional cut-offs based only on high DNA sequence similarity and extending the catalog of AMR genes. Our results in PMA treated samples revealed AMR dominance in the last flight for Kalamiella piersonii , a bacteria related to urinary tract infection in humans. The analysis of 226 pure strains isolated from the MT-1 project revealed hundreds of antibiotic resistance genes from many isolates, including two top-ranking species that corresponded to strains of Enterobacter bugandensis and Bacillus cereus . Computational predictions were experimentally validated by antibiotic resistance profiles in these two species, showing a high degree of concordance. Specifically, disc assay data confirmed the high resistance of these two pathogens to various beta-lactam antibiotics."
PMC9400218,PMC9400218_001,"Overall, our computational predictions and validation analyses demonstrate the advantages of machine learning to uncover concealed AMR determinants in metagenomics datasets, expanding the understanding of the ISS environmental microbiomes and their pathogenic potential in humans. Download video stream . Video Abstract"
PMC9267413,PMC9267413_000,"Outer space is an extremely hostile environment for human life, with ionizing radiation from galactic cosmic rays and microgravity posing the most significant hazards to the health of astronauts. Spaceflight has also been shown to have an impact on established cancer hallmarks, possibly increasing carcinogenic risk. Terrestrially, women have a higher incidence of radiation-induced cancers, largely driven by lung, thyroid, breast, and ovarian cancers, and therefore, historically, they have been permitted to spend significantly less time in space than men. In the present review, we focus on the effects of microgravity and radiation on the female reproductive system, particularly gynecological cancer."
PMC9267413,PMC9267413_001,"The aim is to provide a summary of the research that has been carried out related to the risk of gynecological cancer, highlighting what further studies are needed to pave the way for safer exploration class missions, as well as postflight screening and management of women astronauts following long-duration spaceflight. Keywords: space exploration, microgravity, space radiation, astronaut health, female reproductive system, gynecological cancers"
PMC9576569,PMC9576569_000,"Human expansion in space is hampered by the physiological risks of spaceflight. The muscle and the liver are among the most affected tissues during spaceflight and their relationships in response to space exposure have never been studied. We compared the transcriptome response of liver and quadriceps from mice on NASA RR1 mission, after 37 days of exposure to spaceflight using GSEA, ORA, and sparse partial least square-differential analysis. We found that lipid metabolism is the most affected biological process between the two organs. A specific gene cluster expression pattern in the liver strongly correlated with glucose sparing and an energy-saving response affecting high energy demand process gene expression such as DNA repair, autophagy, and translation in the muscle."
PMC9576569,PMC9576569_001,"Our results show that impaired lipid metabolism gene expression in the liver and muscle atrophy gene expression are two paired events during spaceflight, for which dietary changes represent a possible countermeasure. Subject areas: Space medicine, Omics, Space sciences, Astronautics"
PMC10789781,PMC10789781_000,"Despite surging interest in space travel in recent decades, the impacts of prolonged, elevated exposure to galactic cosmic radiation (GCR) on human health remain poorly understood. This form of ionizing radiation causes significant changes to biological systems including damage to DNA structure by altering epigenetic phenotype with emphasis on DNA methylation. Building on previous work by Kennedy et al. (Sci Rep 8(1): 6709. 10.1038/S41598-018-24755-8), we evaluated spatial DNA methylation patterns triggered by high-LET ( 56 Fe, 28 Si) and low-LET (X-ray) radiation and the influence of chromosome positioning and epigenetic architecture in distinct radial layers of cell nucleus. Next, we validated our results using gene expression data of mice irradiated with simulated GCR and JAXA astronauts."
PMC10789781,PMC10789781_001,"We showed that primarily 56 Fe induces a persistent DNA methylation increase whereas 28 Si and X-ray induce a decrease DNA methylation which is not persistent with time. Moreover, we highlighted the role of nuclear chromatin architecture in cell response to external radiation. In summary, our study provides novel insights towards epigenetic and transcriptomic response as well as chromatin multidimensional structure influence on galactic cosmic radiation damage. Subject terms: Computational biology and bioinformatics, Molecular biology, Space physics"
PMC10772081,PMC10772081_000,"COVID-19, the disease caused by SARS-CoV-2, has caused significant morbidity and mortality worldwide. The betacoronavirus continues to evolve with global health implications as we race to learn more to curb its transmission, evolution, and sequelae. The focus of this review, the second of a three-part series, is on the biological effects of the SARS-CoV-2 virus on post-acute disease in the context of tissue and organ adaptations and damage. We highlight the current knowledge and describe how virological, animal, and clinical studies have shed light on the mechanisms driving the varied clinical diagnoses and observations of COVID-19 patients. Moreover, we describe how investigations into SARS-CoV-2 effects have informed the understanding of viral pathogenesis and provide innovative pathways for future research on the mechanisms of viral diseases."
PMC10772081,PMC10772081_001,"Subject terms: Viral infection, Diagnostic markers, Pathology, Chronic inflammation SARS-CoV-2 and its resultant acute and chronic diseases, COVID-19 and PASC, have caused significant impacts worldwide. Here we describe and review the latest knowledge about the viral effect on our physiology, as well as the latest research on relevant whole-body metabolism pathways, circulating biological components (e.g., RNA, cytokine, hormones, etc.), and affected organ systems and their physiological adaptations consequent to SARS-CoV-2 infection. COVID-19 is a pleiotropic, complex, and dynamic condition (Fig. 4 ). The viral insults and cellular adaptations differ depending on the context, from cellular to organ systems, and intricate biochemistry ties and integrates these systems together."
PMC10772081,PMC10772081_002,"Herein, we have attempted to capture the prevalent host responses, as well as highlight gaps of knowledge that could be addressed with future research. We have also touched on relevant biochemical targets with potential for mitigating COVID-19 in the human host, and we will describe current and in-development treatment modalities that affect these in Part 3 of our review."
PMC11166946,PMC11166946_000,"Human space exploration poses inherent risks to astronauts’ health, leading to molecular changes that can significantly impact their well-being. These alterations encompass genomic instability, mitochondrial dysfunction, increased inflammation, homeostatic dysregulation, and various epigenomic changes. Remarkably, these changes bear similarities to those observed during the aging process on Earth. However, our understanding of the connection between these molecular shifts and disease development in space remains limited. Frailty syndrome, a clinical syndrome associated with biological aging, has not been comprehensively investigated during spaceflight. To bridge this knowledge gap, we leveraged murine data obtained from NASA’s GeneLab, along with astronaut data gathered from the JAXA and Inspiration4 missions."
PMC11166946,PMC11166946_001,"Our objective was to assess the presence of biological markers and pathways related to frailty, aging, and sarcopenia within the spaceflight context. Through our analysis, we identified notable changes in gene expression patterns that may be indicative of the development of a frailty-like condition during space missions. These findings suggest that the parallels between spaceflight and the aging process may extend to encompass frailty as well. Consequently, further investigations exploring the utility of a frailty index in monitoring astronaut health appear to be warranted. Subject terms: Genetics, Medical research"
PMC11166944,PMC11166944_000,"Our previous research revealed a key microRNA signature that is associated with spaceflight that can be used as a biomarker and to develop countermeasure treatments to mitigate the damage caused by space radiation. Here, we expand on this work to determine the biological factors rescued by the countermeasure treatment. We performed RNA-sequencing and transcriptomic analysis on 3D microvessel cell cultures exposed to simulated deep space radiation (0.5 Gy of Galactic Cosmic Radiation) with and without the antagonists to three microRNAs: miR-16-5p, miR-125b-5p, and let-7a-5p ( i.e ., antagomirs). Significant reduction of inflammation and DNA double strand breaks (DSBs) activity and rescue of mitochondria functions are observed after antagomir treatment."
PMC11166944,PMC11166944_001,"Using data from astronaut participants in the NASA Twin Study, Inspiration4, and JAXA missions, we reveal the genes and pathways implicated in the action of these antagomirs are altered in humans. Our findings indicate a countermeasure strategy that can potentially be utilized by astronauts in spaceflight missions to mitigate space radiation damage. Subject terms: Systems analysis, Predictive markers, Cardiology In space radiation-exposed cells, targeting specific microRNAs with antagomirs can reduce cardiovascular damage and improve cellular function. Here the authors describe a reduction in inflammation and DNA double-strand break activity within these cells upon antagomir treatment. Further information on research design is available in the Nature Portfolio Reporting Summary linked to this article."
PMC11166968,PMC11166968_000,"Mounting ambitions and capabilities for public and private, non-government sector crewed space exploration bring with them an increasingly diverse set of space travelers, raising new and nontrivial ethical, legal, and medical policy and practice concerns which are still relatively underexplored. In this piece, we lay out several pressing issues related to ethical considerations for selecting space travelers and conducting human subject research on them, especially in the context of non-governmental and commercial/private space operations. Subject terms: Ethics, Medical research New and dynamically changing opportunities for commercial/private and civilian spaceflight raise the need for an examination of how to ethically guide space industry and community. This Perspective explores such considerations with respect to space traveler selection and human subject research."
PMC11166968,PMC11166968_001,"We are entering an exciting new era of space exploration previously only thought of as science fiction. Commercial/private and civilian spaceflights, such as Inspiration4 and the Polaris missions are no longer just a possibility but a reality. Exciting as these opportunities are, they also come with the burden of ensuring that future space travel will be as safe and ethical as possible. While governmental oversight has historically governed space activities, the emergence of non-governmental initiatives calls for unified ethical guidelines, safeguarding human well-being during selection, research, and decision-making in space."
PMC11166968,PMC11166968_002,"Since non-governmental outfits are not bound by the same rules in the same way, we as a community must ensure that the guidelines we set will guide space exploration according to the highest ethical and medical standards for humans that are currently possible, including selection of SOs, medical research ranging from human subject research to discussion of in-flight triage decisions. The added difficulties of non-universal terminology referring to different kinds of space travelers and of making guidelines sensitive to the diversity and variety of potential spaceflight endeavors will add further layers of complexity. The earlier and better any such guidelines can be implemented, the better the chances that space travel can be performed according to the safest and most optimal standards."
PMC7000411,PMC7000411_000,"While it has been shown that astronauts suffer immune disorders after spaceflight, the underlying causes are still poorly understood and there are many variables to consider when investigating the immune system in a complex environment. Additionally, there is growing evidence that suggests that not only is the immune system being altered, but the pathogens that infect the host are significantly influenced by spaceflight and ground-based spaceflight conditions. In this study, we demonstrate that Serratia marcescens (strain Db11) was significantly more lethal to Drosophila melanogaster after growth on the International Space Station than ground-based controls, but the increased virulence phenotype of S. marcescens did not persist after the bacterial cultures were passaged on the ground."
PMC7000411,PMC7000411_001,"Increased virulence was also observed in bacteria that were grown in simulated microgravity conditions on the ground using the rotating wall vessel. Increased virulence of the space-flown bacteria was similar in magnitude between wild-type flies and those that were mutants for the well-characterized immune pathways Imd and Toll , suggesting that changes to the host immune system after infection are likely not a major factor contributing towards increased susceptibility of ground-reared flies infected with space-flown bacteria. Characterization of the bacteria shows that at later timepoints spaceflight bacteria grew at a greater rate than ground controls in vitro, and in the host. These results suggest complex physiological changes occurring in pathogenic bacteria in space environments, and there may be novel mechanisms mediating these physiological effects that need to be characterized."
PMC7000411,PMC7000411_002,"Subject terms: Infection, Innate immunity, Microbiology"
